id,labels,properties
12,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3493812,44.498582,11.3493812,44.498582],\""latitude\"":44.498582,\""lon\"":11.3493812,\""x\"":\""11.3493812\"",\""y\"":\""44.498582\"",\""geometry\"":\""POINT(11.3493812 44.498582)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.498582,\""longitude\"":11.3493812,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""245980364\"",\""street_count\"":\""2\"",\""lat\"":44.498582,\""longitude\"":11.3493812}"
13,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3498387,44.4990328,11.3498387,44.4990328],\""latitude\"":44.4990328,\""lon\"":11.3498387,\""x\"":\""11.3498387\"",\""y\"":\""44.4990328\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4990328,\""longitude\"":11.3498387,\""height\"":null},\""geometry\"":\""POINT(11.3498387 44.4990328)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""245980365\"",\""street_count\"":\""2\"",\""lat\"":44.4990328,\""longitude\"":11.3498387}"
14,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3502589,44.499389,11.3502589,44.499389],\""latitude\"":44.499389,\""lon\"":11.3502589,\""x\"":\""11.3502589\"",\""y\"":\""44.499389\"",\""geometry\"":\""POINT(11.3502589 44.499389)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.499389,\""longitude\"":11.3502589,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""245980366\"",\""street_count\"":\""2\"",\""lat\"":44.499389,\""longitude\"":11.3502589}"
15,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3504892,44.4996912,11.3504892,44.4996912],\""latitude\"":44.4996912,\""lon\"":11.3504892,\""x\"":\""11.3504892\"",\""y\"":\""44.4996912\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4996912,\""longitude\"":11.3504892,\""height\"":null},\""geometry\"":\""POINT(11.3504892 44.4996912)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""245980367\"",\""highway\"":\""traffic_signals\"",\""street_count\"":\""5\"",\""lat\"":44.4996912,\""longitude\"":11.3504892}"
16,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3512538,44.4994862,11.3512538,44.4994862],\""latitude\"":44.4994862,\""lon\"":11.3512538,\""x\"":\""11.3512538\"",\""y\"":\""44.4994862\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4994862,\""longitude\"":11.3512538,\""height\"":null},\""geometry\"":\""POINT(11.3512538 44.4994862)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""245980471\"",\""street_count\"":\""3\"",\""lat\"":44.4994862,\""longitude\"":11.3512538}"
17,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3463651,44.4985905,11.3463651,44.4985905],\""latitude\"":44.4985905,\""lon\"":11.3463651,\""x\"":\""11.3463651\"",\""y\"":\""44.4985905\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4985905,\""longitude\"":11.3463651,\""height\"":null},\""geometry\"":\""POINT(11.3463651 44.4985905)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250704273\"",\""street_count\"":\""4\"",\""lat\"":44.4985905,\""longitude\"":11.3463651}"
18,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3453524,44.4988922,11.3453524,44.4988922],\""latitude\"":44.4988922,\""lon\"":11.3453524,\""x\"":\""11.3453524\"",\""y\"":\""44.4988922\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4988922,\""longitude\"":11.3453524,\""height\"":null},\""geometry\"":\""POINT(11.3453524 44.4988922)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250704274\"",\""street_count\"":\""4\"",\""lat\"":44.4988922,\""longitude\"":11.3453524}"
19,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3525066,44.4991825,11.3525066,44.4991825],\""latitude\"":44.4991825,\""lon\"":11.3525066,\""x\"":\""11.3525066\"",\""y\"":\""44.4991825\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4991825,\""longitude\"":11.3525066,\""height\"":null},\""geometry\"":\""POINT(11.3525066 44.4991825)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250713168\"",\""street_count\"":\""4\"",\""lat\"":44.4991825,\""longitude\"":11.3525066}"
20,[RouteNode],"{\""componentId\"":20,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.4989428,\""lon\"":11.3566158,\""x\"":\""11.3566158\"",\""y\"":\""44.4989428\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4989428,\""longitude\"":11.3566158,\""height\"":null},\""geometry\"":\""POINT(11.3566158 44.4989428)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715876\"",\""street_count\"":\""2\"",\""lat\"":44.4989428,\""longitude\"":11.3566158}"
21,[RouteNode],"{\""componentId\"":21,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5008869,\""lon\"":11.3563809,\""x\"":\""11.3563809\"",\""y\"":\""44.5008869\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5008869,\""longitude\"":11.3563809,\""height\"":null},\""geometry\"":\""POINT(11.3563809 44.5008869)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715879\"",\""street_count\"":\""2\"",\""lat\"":44.5008869,\""longitude\"":11.3563809}"
