id,labels,properties
810,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3468049,44.5034201,11.3468049,44.5034201],\""latitude\"":44.5034201,\""lon\"":11.3468049,\""x\"":\""11.3468049\"",\""y\"":\""44.5034201\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5034201,\""longitude\"":11.3468049,\""height\"":null},\""geometry\"":\""POINT(11.3468049 44.5034201)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""301892385\"",\""street_count\"":\""3\"",\""lat\"":44.5034201,\""longitude\"":11.3468049}"
811,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3453437,44.5250779,11.3453437,44.5250779],\""latitude\"":44.5250779,\""lon\"":11.3453437,\""x\"":\""11.3453437\"",\""y\"":\""44.5250779\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5250779,\""longitude\"":11.3453437,\""height\"":null},\""geometry\"":\""POINT(11.3453437 44.5250779)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112130\"",\""street_count\"":\""2\"",\""lat\"":44.5250779,\""longitude\"":11.3453437}"
812,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3446939,44.5233495,11.3446939,44.5233495],\""latitude\"":44.5233495,\""lon\"":11.3446939,\""x\"":\""11.3446939\"",\""y\"":\""44.5233495\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5233495,\""longitude\"":11.3446939,\""height\"":null},\""geometry\"":\""POINT(11.3446939 44.5233495)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112132\"",\""street_count\"":\""2\"",\""lat\"":44.5233495,\""longitude\"":11.3446939}"
813,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3441339,44.5225585,11.3441339,44.5225585],\""latitude\"":44.5225585,\""lon\"":11.3441339,\""x\"":\""11.3441339\"",\""y\"":\""44.5225585\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5225585,\""longitude\"":11.3441339,\""height\"":null},\""geometry\"":\""POINT(11.3441339 44.5225585)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112134\"",\""street_count\"":\""2\"",\""lat\"":44.5225585,\""longitude\"":11.3441339}"
814,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3439298,44.5217461,11.3439298,44.5217461],\""latitude\"":44.5217461,\""lon\"":11.3439298,\""x\"":\""11.3439298\"",\""y\"":\""44.5217461\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5217461,\""longitude\"":11.3439298,\""height\"":null},\""geometry\"":\""POINT(11.3439298 44.5217461)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112140\"",\""street_count\"":\""2\"",\""lat\"":44.5217461,\""longitude\"":11.3439298}"
815,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3438696,44.5210628,11.3438696,44.5210628],\""latitude\"":44.5210628,\""lon\"":11.3438696,\""x\"":\""11.3438696\"",\""y\"":\""44.5210628\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5210628,\""longitude\"":11.3438696,\""height\"":null},\""geometry\"":\""POINT(11.3438696 44.5210628)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112141\"",\""street_count\"":\""2\"",\""lat\"":44.5210628,\""longitude\"":11.3438696}"
816,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3438639,44.5206792,11.3438639,44.5206792],\""latitude\"":44.5206792,\""lon\"":11.3438639,\""x\"":\""11.3438639\"",\""y\"":\""44.5206792\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5206792,\""longitude\"":11.3438639,\""height\"":null},\""geometry\"":\""POINT(11.3438639 44.5206792)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112143\"",\""street_count\"":\""2\"",\""lat\"":44.5206792,\""longitude\"":11.3438639}"
817,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3436923,44.5202264,11.3436923,44.5202264],\""latitude\"":44.5202264,\""lon\"":11.3436923,\""x\"":\""11.3436923\"",\""y\"":\""44.5202264\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5202264,\""longitude\"":11.3436923,\""height\"":null},\""geometry\"":\""POINT(11.3436923 44.5202264)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112145\"",\""street_count\"":\""2\"",\""lat\"":44.5202264,\""longitude\"":11.3436923}"
818,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3435864,44.5199489,11.3435864,44.5199489],\""latitude\"":44.5199489,\""lon\"":11.3435864,\""x\"":\""11.3435864\"",\""y\"":\""44.5199489\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5199489,\""longitude\"":11.3435864,\""height\"":null},\""geometry\"":\""POINT(11.3435864 44.5199489)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112525\"",\""street_count\"":\""2\"",\""lat\"":44.5199489,\""longitude\"":11.3435864}"
819,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3434148,44.5196184,11.3434148,44.5196184],\""latitude\"":44.5196184,\""lon\"":11.3434148,\""x\"":\""11.3434148\"",\""y\"":\""44.5196184\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5196184,\""longitude\"":11.3434148,\""height\"":null},\""geometry\"":\""POINT(11.3434148 44.5196184)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112620\"",\""street_count\"":\""2\"",\""lat\"":44.5196184,\""longitude\"":11.3434148}"
820,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3433054,44.5194742,11.3433054,44.5194742],\""latitude\"":44.5194742,\""lon\"":11.3433054,\""x\"":\""11.3433054\"",\""y\"":\""44.5194742\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5194742,\""longitude\"":11.3433054,\""height\"":null},\""geometry\"":\""POINT(11.3433054 44.5194742)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112621\"",\""street_count\"":\""2\"",\""lat\"":44.5194742,\""longitude\"":11.3433054}"
821,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3429018,44.5190697,11.3429018,44.5190697],\""latitude\"":44.5190697,\""lon\"":11.3429018,\""x\"":\""11.3429018\"",\""y\"":\""44.5190697\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5190697,\""longitude\"":11.3429018,\""height\"":null},\""geometry\"":\""POINT(11.3429018 44.5190697)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112623\"",\""street_count\"":\""2\"",\""lat\"":44.5190697,\""longitude\"":11.3429018}"
822,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3424909,44.5185712,11.3424909,44.5185712],\""latitude\"":44.5185712,\""lon\"":11.3424909,\""x\"":\""11.3424909\"",\""y\"":\""44.5185712\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5185712,\""longitude\"":11.3424909,\""height\"":null},\""geometry\"":\""POINT(11.3424909 44.5185712)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112625\"",\""street_count\"":\""2\"",\""lat\"":44.5185712,\""longitude\"":11.3424909}"
823,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3423004,44.5182844,11.3423004,44.5182844],\""latitude\"":44.5182844,\""lon\"":11.3423004,\""x\"":\""11.3423004\"",\""y\"":\""44.5182844\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5182844,\""longitude\"":11.3423004,\""height\"":null},\""geometry\"":\""POINT(11.3423004 44.5182844)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304112626\"",\""street_count\"":\""2\"",\""lat\"":44.5182844,\""longitude\"":11.3423004}"
824,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3419514,44.5178436,11.3419514,44.5178436],\""latitude\"":44.5178436,\""lon\"":11.3419514,\""x\"":\""11.3419514\"",\""y\"":\""44.5178436\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5178436,\""longitude\"":11.3419514,\""height\"":null},\""geometry\"":\""POINT(11.3419514 44.5178436)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""304113944\"",\""street_count\"":\""2\"",\""lat\"":44.5178436,\""longitude\"":11.3419514}"
825,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3323023,44.5140037,11.3323023,44.5140037],\""latitude\"":44.5140037,\""lon\"":11.3323023,\""x\"":\""11.3323023\"",\""y\"":\""44.5140037\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5140037,\""longitude\"":11.3323023,\""height\"":null},\""geometry\"":\""POINT(11.3323023 44.5140037)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311049827\"",\""street_count\"":\""3\"",\""lat\"":44.5140037,\""longitude\"":11.3323023}"
826,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3326174,44.5139173,11.3326174,44.5139173],\""latitude\"":44.5139173,\""lon\"":11.3326174,\""x\"":\""11.3326174\"",\""y\"":\""44.5139173\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5139173,\""longitude\"":11.3326174,\""height\"":null},\""geometry\"":\""POINT(11.3326174 44.5139173)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311049829\"",\""street_count\"":\""2\"",\""lat\"":44.5139173,\""longitude\"":11.3326174}"
827,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330767,44.5137909,11.3330767,44.5137909],\""latitude\"":44.5137909,\""lon\"":11.3330767,\""x\"":\""11.3330767\"",\""y\"":\""44.5137909\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5137909,\""longitude\"":11.3330767,\""height\"":null},\""geometry\"":\""POINT(11.3330767 44.5137909)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311049830\"",\""street_count\"":\""2\"",\""lat\"":44.5137909,\""longitude\"":11.3330767}"
828,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3333585,44.5137112,11.3333585,44.5137112],\""latitude\"":44.5137112,\""lon\"":11.3333585,\""x\"":\""11.3333585\"",\""y\"":\""44.5137112\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5137112,\""longitude\"":11.3333585,\""height\"":null},\""geometry\"":\""POINT(11.3333585 44.5137112)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311049832\"",\""street_count\"":\""3\"",\""lat\"":44.5137112,\""longitude\"":11.3333585}"
829,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3335455,44.5140632,11.3335455,44.5140632],\""latitude\"":44.5140632,\""lon\"":11.3335455,\""x\"":\""11.3335455\"",\""y\"":\""44.5140632\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5140632,\""longitude\"":11.3335455,\""height\"":null},\""geometry\"":\""POINT(11.3335455 44.5140632)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311049885\"",\""street_count\"":\""2\"",\""lat\"":44.5140632,\""longitude\"":11.3335455}"
830,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330179,44.513053,11.3330179,44.513053],\""latitude\"":44.513053,\""lon\"":11.3330179,\""x\"":\""11.3330179\"",\""y\"":\""44.513053\"",\""geometry\"":\""POINT(11.3330179 44.513053)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.513053,\""longitude\"":11.3330179,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050050\"",\""street_count\"":\""2\"",\""lat\"":44.513053,\""longitude\"":11.3330179}"
831,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330037,44.5129833,11.3330037,44.5129833],\""latitude\"":44.5129833,\""lon\"":11.3330037,\""x\"":\""11.3330037\"",\""y\"":\""44.5129833\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5129833,\""longitude\"":11.3330037,\""height\"":null},\""geometry\"":\""POINT(11.3330037 44.5129833)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050052\"",\""street_count\"":\""2\"",\""lat\"":44.5129833,\""longitude\"":11.3330037}"
832,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330239,44.5129208,11.3330239,44.5129208],\""latitude\"":44.5129208,\""lon\"":11.3330239,\""x\"":\""11.3330239\"",\""y\"":\""44.5129208\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5129208,\""longitude\"":11.3330239,\""height\"":null},\""geometry\"":\""POINT(11.3330239 44.5129208)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050055\"",\""street_count\"":\""2\"",\""lat\"":44.5129208,\""longitude\"":11.3330239}"
833,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330947,44.5128212,11.3330947,44.5128212],\""latitude\"":44.5128212,\""lon\"":11.3330947,\""x\"":\""11.3330947\"",\""y\"":\""44.5128212\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5128212,\""longitude\"":11.3330947,\""height\"":null},\""geometry\"":\""POINT(11.3330947 44.5128212)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050057\"",\""street_count\"":\""2\"",\""lat\"":44.5128212,\""longitude\"":11.3330947}"
834,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3331184,44.5127706,11.3331184,44.5127706],\""latitude\"":44.5127706,\""lon\"":11.3331184,\""x\"":\""11.3331184\"",\""y\"":\""44.5127706\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5127706,\""longitude\"":11.3331184,\""height\"":null},\""geometry\"":\""POINT(11.3331184 44.5127706)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050060\"",\""street_count\"":\""3\"",\""lat\"":44.5127706,\""longitude\"":11.3331184}"
835,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3331504,44.5126761,11.3331504,44.5126761],\""latitude\"":44.5126761,\""lon\"":11.3331504,\""x\"":\""11.3331504\"",\""y\"":\""44.5126761\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5126761,\""longitude\"":11.3331504,\""height\"":null},\""geometry\"":\""POINT(11.3331504 44.5126761)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050061\"",\""street_count\"":\""2\"",\""lat\"":44.5126761,\""longitude\"":11.3331504}"
836,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3331221,44.5125704,11.3331221,44.5125704],\""latitude\"":44.5125704,\""lon\"":11.3331221,\""x\"":\""11.3331221\"",\""y\"":\""44.5125704\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5125704,\""longitude\"":11.3331221,\""height\"":null},\""geometry\"":\""POINT(11.3331221 44.5125704)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050062\"",\""street_count\"":\""2\"",\""lat\"":44.5125704,\""longitude\"":11.3331221}"
837,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330717,44.5124904,11.3330717,44.5124904],\""latitude\"":44.5124904,\""lon\"":11.3330717,\""x\"":\""11.3330717\"",\""y\"":\""44.5124904\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5124904,\""longitude\"":11.3330717,\""height\"":null},\""geometry\"":\""POINT(11.3330717 44.5124904)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050063\"",\""street_count\"":\""2\"",\""lat\"":44.5124904,\""longitude\"":11.3330717}"
838,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330487,44.5124423,11.3330487,44.5124423],\""latitude\"":44.5124423,\""lon\"":11.3330487,\""x\"":\""11.3330487\"",\""y\"":\""44.5124423\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5124423,\""longitude\"":11.3330487,\""height\"":null},\""geometry\"":\""POINT(11.3330487 44.5124423)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050065\"",\""street_count\"":\""2\"",\""lat\"":44.5124423,\""longitude\"":11.3330487}"
839,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3330132,44.5123791,11.3330132,44.5123791],\""latitude\"":44.5123791,\""lon\"":11.3330132,\""x\"":\""11.3330132\"",\""y\"":\""44.5123791\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5123791,\""longitude\"":11.3330132,\""height\"":null},\""geometry\"":\""POINT(11.3330132 44.5123791)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050067\"",\""street_count\"":\""2\"",\""lat\"":44.5123791,\""longitude\"":11.3330132}"
840,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3329869,44.5123072,11.3329869,44.5123072],\""latitude\"":44.5123072,\""lon\"":11.3329869,\""x\"":\""11.3329869\"",\""y\"":\""44.5123072\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5123072,\""longitude\"":11.3329869,\""height\"":null},\""geometry\"":\""POINT(11.3329869 44.5123072)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050068\"",\""street_count\"":\""2\"",\""lat\"":44.5123072,\""longitude\"":11.3329869}"
841,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3329183,44.5122388,11.3329183,44.5122388],\""latitude\"":44.5122388,\""lon\"":11.3329183,\""x\"":\""11.3329183\"",\""y\"":\""44.5122388\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5122388,\""longitude\"":11.3329183,\""height\"":null},\""geometry\"":\""POINT(11.3329183 44.5122388)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050070\"",\""street_count\"":\""2\"",\""lat\"":44.5122388,\""longitude\"":11.3329183}"
842,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3328099,44.5121791,11.3328099,44.5121791],\""latitude\"":44.5121791,\""lon\"":11.3328099,\""x\"":\""11.3328099\"",\""y\"":\""44.5121791\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5121791,\""longitude\"":11.3328099,\""height\"":null},\""geometry\"":\""POINT(11.3328099 44.5121791)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050071\"",\""street_count\"":\""2\"",\""lat\"":44.5121791,\""longitude\"":11.3328099}"
843,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3326591,44.5121201,11.3326591,44.5121201],\""latitude\"":44.5121201,\""lon\"":11.3326591,\""x\"":\""11.3326591\"",\""y\"":\""44.5121201\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5121201,\""longitude\"":11.3326591,\""height\"":null},\""geometry\"":\""POINT(11.3326591 44.5121201)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050072\"",\""street_count\"":\""2\"",\""lat\"":44.5121201,\""longitude\"":11.3326591}"
844,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3322871,44.5119269,11.3322871,44.5119269],\""latitude\"":44.5119269,\""lon\"":11.3322871,\""x\"":\""11.3322871\"",\""y\"":\""44.5119269\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5119269,\""longitude\"":11.3322871,\""height\"":null},\""geometry\"":\""POINT(11.3322871 44.5119269)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050073\"",\""street_count\"":\""2\"",\""lat\"":44.5119269,\""longitude\"":11.3322871}"
845,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3319317,44.5118427,11.3319317,44.5118427],\""latitude\"":44.5118427,\""lon\"":11.3319317,\""x\"":\""11.3319317\"",\""y\"":\""44.5118427\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5118427,\""longitude\"":11.3319317,\""height\"":null},\""geometry\"":\""POINT(11.3319317 44.5118427)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050074\"",\""street_count\"":\""3\"",\""lat\"":44.5118427,\""longitude\"":11.3319317}"
846,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3317037,44.5117542,11.3317037,44.5117542],\""latitude\"":44.5117542,\""lon\"":11.3317037,\""x\"":\""11.3317037\"",\""y\"":\""44.5117542\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5117542,\""longitude\"":11.3317037,\""height\"":null},\""geometry\"":\""POINT(11.3317037 44.5117542)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050075\"",\""street_count\"":\""2\"",\""lat\"":44.5117542,\""longitude\"":11.3317037}"
847,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3315546,44.5116259,11.3315546,44.5116259],\""latitude\"":44.5116259,\""lon\"":11.3315546,\""x\"":\""11.3315546\"",\""y\"":\""44.5116259\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5116259,\""longitude\"":11.3315546,\""height\"":null},\""geometry\"":\""POINT(11.3315546 44.5116259)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050077\"",\""street_count\"":\""4\"",\""lat\"":44.5116259,\""longitude\"":11.3315546}"
848,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3314238,44.5115531,11.3314238,44.5115531],\""latitude\"":44.5115531,\""lon\"":11.3314238,\""x\"":\""11.3314238\"",\""y\"":\""44.5115531\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5115531,\""longitude\"":11.3314238,\""height\"":null},\""geometry\"":\""POINT(11.3314238 44.5115531)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050078\"",\""street_count\"":\""2\"",\""lat\"":44.5115531,\""longitude\"":11.3314238}"
849,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.331244,44.5114445,11.331244,44.5114445],\""latitude\"":44.5114445,\""lon\"":11.331244,\""x\"":\""11.331244\"",\""y\"":\""44.5114445\"",\""geometry\"":\""POINT(11.331244 44.5114445)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5114445,\""longitude\"":11.331244,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050079\"",\""street_count\"":\""2\"",\""lat\"":44.5114445,\""longitude\"":11.331244}"
850,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3310007,44.51129,11.3310007,44.51129],\""latitude\"":44.51129,\""lon\"":11.3310007,\""x\"":\""11.3310007\"",\""y\"":\""44.51129\"",\""geometry\"":\""POINT(11.3310007 44.51129)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.51129,\""longitude\"":11.3310007,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050083\"",\""street_count\"":\""2\"",\""lat\"":44.51129,\""longitude\"":11.3310007}"
851,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3306462,44.5110592,11.3306462,44.5110592],\""latitude\"":44.5110592,\""lon\"":11.3306462,\""x\"":\""11.3306462\"",\""y\"":\""44.5110592\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5110592,\""longitude\"":11.3306462,\""height\"":null},\""geometry\"":\""POINT(11.3306462 44.5110592)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""311050084\"",\""street_count\"":\""2\"",\""lat\"":44.5110592,\""longitude\"":11.3306462}"
